id,name,type,address,street_one,street_two,city,state,zip_code,location_description,date_from,date_to,open_time1,close_time1,open_time2,close_time2,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,SNAP,WIC,FMNP,fresh_produce-healthy,MRFEI_score,latitude,longitude,open_to_spec_group,food_bucks
NA,Beechview Farmers Market,NA,1563 Beechview Ave,Broadway Ave,Hampshire Ave,NA,PA,15216,NA,June 20th,September 12th,15:00:00,19:00:00,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,Belllevue Farmers Market,NA,34 N Balph Ave,NA,NA,Bellevue,PA,15202,Bayne Park,June 20th,September 12th,15:00:00,19:00:00,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,Bloomfield Saturday Market,NA,5050 Liberty Ave,NA,NA,Pittsburgh,PA,15224,NA,June 20th,September 12th,09:00:00,13:00:00,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,Carrick Farmers Market,NA,1529 Brownsville Road,NA,NA,Pittsburgh,PA,15210,NA,June 20th,September 12th,15:00:00,19:00:00,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,East Liberty Farmers Market,NA,NA,Broad St,Station St,Pittsburgh,PA,15206,Garland Parklet Lot. N. Euclid,June 20th,September 12th,15:00:00,19:00:00,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,Garfield Farm Stand,NA,NA,Wiclow St,Columbo St,Pittsburgh,PA,15224,NA,June 20th,September 12th,16:00:00,19:00:00,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,Green Tree Farmers Market,NA,905 Greentree Road,NA,NA,Pittsburgh,PA,15220,NA,June 20th,September 12th,15:00:00,19:00:00,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,Homewood Farmers Market,NA,7139 Fransktown Ave,NA,NA,Pittsburgh,PA,15208,Last Saturday,June 20th,September 12th,15:00:00,17:30:00,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,Homewood Farmers Market,NA,7139 Fransktown Ave,NA,NA,Pittsburgh,PA,15208,NA,June 20th,September 12th,15:00:00,19:00:00,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,Larimer Farmers Market,NA,NA,Larimer Ave,Carver St,Pittsburgh,PA,NA,4th Sunday,June 20th,September 12th,16:00:00,19:00:00,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,Lawrenceville Farmers Market,NA,NA,40th St,Butler St,Pittsburgh,PA,15201,Arsenal Park,June 20th,September 12th,10:00:00,14:00:00,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,Market Square Farmers Market,NA,NA,Forbes Ave,Market St,Pittsburgh,PA,15222,NA,June 20th,September 12th,10:30:00,13:30:00,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,Mellon Square Farmers Market,NA,NA,Smithfield St,Sixth Ave,Pittsburgh,PA,15222,"Mellon Square Park,",June 20th,September 12th,15:00:00,18:00:00,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,Moon Township Farmers Market,NA,1000 Beaver Grade Road,NA,NA,Moon,PA,15108,"Moon Municipal Building,",June 20th,September 12th,15:00:00,19:00:00,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,North Side Farmers Market,NA,NA,East Ohio St,Cedar Ave,Pittsburgh,PA,15101,NA,June 20th,September 12th,15:00:00,19:00:00,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,Peters Township Farmers Market,NA,905 East McMurray Rd,NA,NA,Venetia,PA,15367,NA,June 20th,September 12th,15:00:00,19:00:00,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,South Side Farmers Market,NA,NA,18th St,Carson St,Pittsburgh,PA,15203,NA,June 20th,September 12th,15:00:00,19:00:00,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,Squirrel Hill Farmers Market,NA,NA,Beacon St,Bartlett St,Pittsburgh,PA,15217,NA,June 20th,September 12th,09:00:00,13:00:00,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,Swissvale Farmers Market,NA,7301 Schoyer Ave,NA,NA,Swissvale,PA,15218,"Lot behind Dickson School,",June 20th,September 12th,09:00:00,13:00:00,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,Wilkinsburg Thursday Open Market,NA,225 Penn Avenue,NA,NA,Wilkinsburg,PA,15221,NA,June 20th,September 12th,15:00:00,18:30:00,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,Braddock Farm Stand,NA,1000 Braddock Ave,Braddock,6th,Braddock,PA,15104,NA,June 20th,September 12th,10:00:00,14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,Shiloah Farm Stand,NA,NA,Thomas Boulevard,Homewood,Pittsburgh,PA,15208,NA,June 20th,September 12th,15:00:00,18:00:00,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
